cluster_id,n_sats,n_planes,plane_ids,max_plane_sats,max_plane_frac,mean_inc,mean_alt
1463,3,1,[np.int64(70)],3,1.0,53.21966666666666,547.8316782552632
1457,3,1,[np.int64(49)],3,1.0,53.053133333333335,555.5735757273427
1421,3,1,[np.int64(69)],3,1.0,53.219033333333336,547.8830762569606
1443,3,2,"[np.int64(47), np.int64(48)]",2,0.6666666666666666,53.21666666666666,547.8499173060591
1435,3,1,[np.int64(45)],3,1.0,53.214866666666666,547.6935957812952
1467,3,1,[np.int64(36)],3,1.0,53.05486666666667,555.3337150140954
1400,3,2,"[np.int64(34), np.int64(35)]",2,0.6666666666666666,53.055033333333334,555.3091123169015
1422,3,1,[np.int64(37)],3,1.0,53.215133333333334,547.9593552072685
1436,3,1,[np.int64(70)],3,1.0,53.21876666666666,547.7330783228064
1434,3,1,[np.int64(42)],3,1.0,53.107866666666666,553.0314664949788
1402,3,1,[np.int64(50)],3,1.0,53.21543333333333,547.6413407494767
1659,3,1,[np.int64(66)],3,1.0,53.21843333333334,547.77660319795
1661,3,1,[np.int64(36)],3,1.0,53.21496666666667,547.938072421934
1531,3,1,[np.int64(43)],3,1.0,53.213966666666664,547.7910834371065
1530,3,1,[np.int64(42)],3,1.0,53.21696666666667,547.415524698612
1156,3,1,[np.int64(11)],3,1.0,53.21736666666667,547.7855720095421
941,3,1,[np.int64(14)],3,1.0,53.21816666666666,547.8794192812111
1001,3,1,[np.int64(9)],3,1.0,53.217600000000004,547.8346533298837
1051,3,1,[np.int64(10)],3,1.0,53.217800000000004,547.7926416270249
1527,3,1,[np.int64(69)],3,1.0,53.219500000000004,547.8945150253655
1560,3,1,[np.int64(51)],3,1.0,53.21556666666667,547.7722640645278
1586,3,1,[np.int64(65)],3,1.0,53.2208,547.893055621204
1582,3,1,[np.int64(47)],3,1.0,53.21523333333334,547.7671383345232
1575,3,1,[np.int64(39)],3,1.0,53.21556666666667,547.7319605954035
718,3,1,[np.int64(14)],3,1.0,53.217033333333326,547.0223738706882
1561,3,1,[np.int64(51)],3,1.0,53.21626666666666,547.7199403847096
848,3,1,[np.int64(19)],3,1.0,53.21746666666667,547.9244714104251
1665,3,1,[np.int64(38)],3,1.0,53.215666666666664,547.763386920764
