Cluster ID,Tier,Size,Min Altitude (km),Max Altitude (km),Mean Density
162,Minor,10,310.46512048989626,546.4624710393175,1.1610552395951815e-11
614,Minor,10,452.4089449988669,492.98221370666477,4.315255307162092e-11
1481,Minor,10,482.6006351104276,485.7692369309636,4.0540178782531764e-11
535,Minor,10,490.2639147202829,491.548209768652,4.646156050446718e-11
500,Minor,10,490.48989989768063,491.5654292063769,3.0651858325312795e-11
1484,Minor,10,411.0025048791021,460.15944986226316,3.935977262227665e-11
711,Minor,9,364.6196666293349,566.9929765538983,4.882882313186403e-11
701,Minor,9,490.5360384041611,492.2293706877157,3.921786587077058e-11
713,Minor,9,355.70445300523005,356.53601294994445,3.0961473055871513e-11
710,Minor,9,364.3635336277885,366.6304942928441,3.607871651927249e-11
1439,Minor,9,547.6656845634133,548.2756197078535,4.781827505295711e-11
1724,Minor,9,482.8443807895854,483.6905588187389,5.745073333700603e-11
1357,Minor,9,547.3249739453913,548.1068536072262,3.347709274166107e-11
1370,Minor,9,482.7880711464155,483.34557960827743,4.6442209583807267e-11
1396,Minor,9,483.08350090022105,483.6380847341362,3.367060194826027e-11
903,Minor,9,410.6863283943767,555.3195949330562,5.96438376784636e-11
907,Minor,9,490.32955592700097,492.65168682445307,3.313307637437361e-11
775,Minor,9,363.8955811857516,365.3076096092593,3.18000129511347e-11
935,Minor,9,566.811671001371,567.7226646575909,3.18000129511347e-11
131,Minor,9,580.5878712839782,581.2842523654597,4.62271993542526e-12
66,Minor,9,565.7497805681303,697.9825740225548,3.784180040162073e-12
1814,Minor,9,482.7090072629591,484.504247534141,5.401056966413141e-11
787,Minor,9,490.57077433835434,493.4887499004612,4.7624765846357913e-11
676,Minor,9,490.39746359016186,491.35555696802305,4.095944873016335e-11
690,Minor,9,547.6549323978703,547.9697563298336,3.4444638774657056e-11
737,Minor,9,363.8949405877162,365.1423852708759,3.281056103004161e-11
615,Minor,9,490.29364440082105,492.3708932369063,2.711278994684304e-11
109,Minor,9,580.7458049207517,583.5867970553516,5.418257784777515e-12
979,Minor,9,566.8487225210928,567.4617547651847,3.102597612473791e-11
572,Minor,9,567.010401595558,567.2730241070605,4.489413593101369e-11
583,Minor,9,490.5337813636614,492.4584019470187,5.566614843170231e-11
1529,Minor,9,455.8396844056509,483.42106698765514,3.592820935858423e-11
552,Minor,9,566.7475254903761,567.1763130563357,4.708724027247126e-11
510,Minor,9,547.7117968971114,548.007607668708,3.650873697838182e-11
504,Minor,9,490.22910954583995,492.92844253901296,5.411807477890874e-11
421,Minor,9,547.6517259441829,547.9533985689534,4.9473853820528025e-11
1277,Minor,9,454.71922461893035,483.1664559810348,3.498216434854371e-11
1565,Minor,9,482.7113917250279,555.7710146325547,5.2591502149070636e-11
1567,Minor,9,554.9932262181406,555.6667687719669,5.0183387578058406e-11
467,Minor,9,482.9404363085553,483.4944368409421,4.375458171437398e-11
177,Minor,9,578.3273092196239,582.0503864472136,5.9987854045751056e-12
182,Minor,9,493.1389408718236,593.1209698789073,1.1739558533684614e-11
1008,Minor,9,359.4182720679669,366.39403303161913,3.607871651927249e-11
977,Minor,9,566.9492249777671,567.6942775366679,3.870184131983939e-11
544,Minor,9,363.85811533608194,366.2314906914215,3.3520094787572e-11
227,Minor,9,580.1952264129361,581.3928464662303,3.676674925384742e-12
205,Minor,9,580.1023505304539,581.3012604140752,3.096147305587151e-12
412,Minor,9,490.46929813386873,491.9402566062938,3.981989451352364e-11
382,Minor,9,629.8745134749227,643.6136167085627,5.211847964405038e-11
251,Minor,9,580.5136455459074,588.5160612859586,5.418257784777515e-12
259,Minor,9,570.5976004268146,572.9855364458393,1.2384589222348604e-11
356,Minor,9,557.085227284885,558.2803362764632,5.054890496830133e-11
384,Minor,9,518.6878190278393,534.8046752783805,4.5775677872187815e-11
373,Minor,9,627.3391573131829,645.1405776852881,3.7261272781823146e-11
392,Minor,9,483.1321198689062,550.4953733244362,8.209090564397043e-11
1600,Minor,9,546.9488973360294,555.3532274488463,4.678622595109473e-11
378,Minor,9,445.8341961174188,505.77837548516595,5.908481108162146e-11
368,Minor,9,570.730851412272,572.2624988314202,2.6510761304089982e-11
1606,Minor,9,367.5780511926906,367.88230558409913,5.3709555342754885e-11
1110,Minor,9,566.5231657013577,567.4143976633679,4.173348555656014e-11
1129,Minor,9,547.6996252833111,547.9704398209583,5.932132233413159e-11
1647,Minor,9,547.6365537637072,547.9957049418101,4.998987837145921e-11
285,Minor,9,506.89785674402395,549.3511334178606,2.0640982037247676e-11
238,Minor,9,579.261111250572,584.1890570625178,8.32089588376547e-12
31,Minor,9,580.9116574870218,581.7495504533201,8.90142350356306e-12
1169,Minor,9,566.3529271073184,567.1985896054264,2.999392702287553e-11
24,Minor,9,581.0210803826535,588.8604839698644,5.418257784777515e-12
1755,Minor,8,482.5331089921696,483.5659807746522,5.6117669913767114e-11
14,Minor,8,481.80150071761756,637.4227402797602,1.0643006362955832e-12
1749,Minor,8,482.9527623116244,483.8692697228063,5.360205022797756e-11
74,Minor,8,581.0266883374649,581.2775193916866,5.611766991376711e-12
79,Minor,8,497.8929489099523,639.4544353409084,3.870184131983939e-12
1732,Minor,8,482.98315743189863,504.2654427687414,3.751659742941931e-11
82,Minor,8,580.7552216688646,582.2513308609426,4.257202545182333e-12
268,Minor,8,380.2372723748926,571.5218751177052,1.3303757953694791e-11
126,Minor,8,495.9829032485997,685.9711301233415,6.676067627672295e-12
731,Minor,8,566.6170802333877,567.5804958668518,3.088890710339681e-11
1419,Minor,8,482.998229840084,549.0608605716899,4.784515133165144e-11
1404,Minor,8,367.4605162407523,367.926917191348,4.42168537079165e-11
761,Minor,8,482.93260014664565,483.54174241791105,5.011888450919201e-11
